Datum,Rubrik,Beskrivning,Plats,Länk
2024-10-04T17:31:33+02:00,"04 oktober 17.21, Trafikbrott, Borlänge","Man i 30-årsåldeern misstänkt för drograttfylleri, ringa narkotikabrott samt grov olovlig körning i centrala B",Borlänge,/aktuellt/handelser/2024/oktober/4/04-oktober-17.21-trafikbrott-borlange/
2024-10-04T16:48:37+02:00,"04 oktober 16.41, Trafikolycka, Orsa",Kollision mellan Lastbil och personbil på E45 vid korsningen med Lv296.,Orsa,/aktuellt/handelser/2024/oktober/4/04-oktober-16.41-trafikolycka-orsa/
2024-10-04T16:22:30+02:00,"04 oktober 10.37, Motorfordon, stöld, Haparanda","Haparanda/Kalix, två personer greps efter bilfärd",Haparanda,/aktuellt/handelser/2024/oktober/4/04-oktober-10.37-motorfordon-stold-haparanda/
2024-10-04T17:09:17+02:00,"04 oktober 15.38, Narkotikabrott, Gällivare","Gällivare, man kontrollerad av polis",Gällivare,/aktuellt/handelser/2024/oktober/4/04-oktober-15.38-narkotikabrott-gallivare/
2024-10-04T16:59:36+02:00,"04 oktober 15.07, Trafikbrott, Härnösand","Gådeåstaden, A-traktor stoppad för kontroll",Härnösand,/aktuellt/handelser/2024/oktober/4/04-oktober-15.07-trafikbrott-harnosand/
2024-10-04T16:42:17+02:00,"04 oktober 16.34, Trafikkontroll, Västerbottens län","Västerbotten, ett urval av polisens arbete i trafiken under eftermiddagen",Västerbottens län,/aktuellt/handelser/2024/oktober/4/04-oktober-16.34-trafikkontroll-vasterbottens-lan/
2024-10-04T16:34:17+02:00,"04 oktober 13.12, Rattfylleri, Umeå","Umeå, förare stoppad för kontroll",Umeå,/aktuellt/handelser/2024/oktober/4/04-oktober-13.12-rattfylleri-umea/
2024-10-04T15:21:45+02:00,"04 oktober 14.29, Trafikolycka, Boden","Riksväg 97 Torpgärdan, flera trafikanter inblandade i olycka",Boden,/aktuellt/handelser/2024/oktober/4/04-oktober-14.29-trafikolycka-boden/
2024-10-04T16:14:27+02:00,"04 oktober 13.47, Misshandel, Boden","Centrum, två män har bråkat utomhus",Boden,/aktuellt/handelser/2024/oktober/4/04-oktober-13.47-misshandel-boden/
2024-10-04T15:28:25+02:00,"04 oktober 15.19, Trafikolycka, Karlstad",Kollision elsparkcykel/mopedbil i korsningen Trumpetgatan/Vårgatan i Karlstad.,Karlstad,/aktuellt/handelser/2024/oktober/4/04-oktober-15.19-trafikolycka-karlstad/
2024-10-04T16:05:53+02:00,"04 oktober 14.52, Bedrägeri, Södertälje",Två personer försöker genomföra byte av varor med ett förfalskat kvitto.,Södertälje,/aktuellt/handelser/2024/oktober/4/04-oktober-14.52-bedrageri-sodertalje/
2024-10-04T15:39:21+02:00,"04 oktober 12.44, Stöld, Haparanda","Centrum, kvinna stoppad efter misstänkt stöld i livsmedelsbutik",Haparanda,/aktuellt/handelser/2024/oktober/4/04-oktober-12.44-stold-haparanda/
2024-10-04T15:36:59+02:00,"04 oktober 12.55, Stöld, Luleå","Innerstaden, man stoppad efter misstänkt ringa stöld i livsmedelsbutik",Luleå,/aktuellt/handelser/2024/oktober/4/04-oktober-12.55-stold-lulea/
2024-10-04T14:02:44+02:00,"04 oktober 12.03, Hemfridsbrott, Orsa",En man i 55-årsåldern misstänks för grovt hemfridsbrott.,Orsa,/aktuellt/handelser/2024/oktober/4/04-oktober-12.03-hemfridsbrott-orsa/
2024-10-04T13:36:49+02:00,"04 oktober 12.48, Trafikolycka, Östersund","Trafikolycka på E45 Ollsta, Häggenås.",Östersund,/aktuellt/handelser/2024/oktober/4/04-oktober-12.48-trafikolycka-ostersund/
2024-10-04T13:49:05+02:00,"04 oktober 13.17, Trafikolycka, Tomelilla",Polis larmas till centrala Tomelilla där en trafikolycka inträffat.,Tomelilla,/aktuellt/handelser/2024/oktober/4/04-oktober-13.17-trafikolycka-tomelilla/
2024-10-04T13:21:44+02:00,"04 oktober 12.29, Häleri, Sundsvall",Man misstänks för häleri.,Sundsvall,/aktuellt/handelser/2024/oktober/4/04-oktober-12.29-haleri-sundsvall/
2024-10-04T13:17:51+02:00,"04 oktober 07.57, Trafikolycka, personskada, Töreboda","På länsväg 200 utanför Töreboda är det en A-traktor, personbil och lastbil inblandade i en olycka.",Töreboda,/aktuellt/handelser/2024/oktober/4/04-oktober-07.57-trafikolycka-personskada-toreboda/
2024-10-04T13:15:42+02:00,"04 oktober 12.16, Olovlig körning, Luleå",Grov olovlig körning i centrum.,Luleå,/aktuellt/handelser/2024/oktober/4/04-oktober-12.16-olovlig-korning-lulea/
2024-10-04T12:55:30+02:00,"04 oktober 12.55, Stöld, Örebro",En man i 35-årsåldern misstänks för häleri alternativt stöld.,Örebro,/aktuellt/handelser/2024/oktober/4/04-oktober-12.55-stold-orebro/
2024-10-04T12:54:45+02:00,"04 oktober 12.54, Trafikkontroll, Jämtlands län",Resultat av polisens arbete i trafiken.,Jämtlands län,/aktuellt/handelser/2024/oktober/4/04-oktober-12.54-trafikkontroll-jamtlands-lan/
2024-10-04T12:11:00+02:00,"04 oktober 12.10, Trafikkontroll, Norrbottens län",Resultat av polisens arbete i trafiken.,Norrbottens län,/aktuellt/handelser/2024/oktober/4/04-oktober-12.10-trafikkontroll-norrbottens-lan/
2024-10-04T11:16:31+02:00,"04 oktober 08.01, Stöld, Skellefteå",Stöld ur arbetsfordon i Skelleftehamn.,Skellefteå,/aktuellt/handelser/2024/oktober/4/04-oktober-08.01-stold-skelleftea/
2024-10-04T11:05:01+02:00,"04 oktober 11.02, Trafikhinder, Motala",Totalstopp på väg 34 vid Borensberg.,Motala,/aktuellt/handelser/2024/oktober/4/04-oktober-11.02-trafikhinder-motala/
2024-10-04T11:02:40+02:00,"04 oktober 09.53, Trafikolycka, Umeå","Trafikolycka på Nydalavägen/Strombergs väg, Umeå.",Umeå,/aktuellt/handelser/2024/oktober/4/04-oktober-09.53-trafikolycka-umea/
2024-10-04T09:35:49+02:00,"04 oktober 09.10, Trafikolycka, Lycksele",Trafikolycka på Fiskalvägen i Lycksele.,Lycksele,/aktuellt/handelser/2024/oktober/4/04-oktober-09.10-trafikolycka-lycksele/
2024-10-04T10:17:07+02:00,"04 oktober 09.45, Trafikolycka, Piteå","Trafikolycka på E4 Öjebyn, Piteå.",Piteå,/aktuellt/handelser/2024/oktober/4/04-oktober-09.45-trafikolycka-pitea/
2024-10-04T10:56:07+02:00,"04 oktober 07.32, Stöld, Uppsala",Bil på verkstad tömdes på verktyg.,Uppsala,/aktuellt/handelser/2024/oktober/4/04-oktober-07.32-stold-uppsala/
2024-10-04T10:53:03+02:00,"04 oktober 08.32, Rattfylleri, Håbo",Förare misstänks för drograttfylleri.,Håbo,/aktuellt/handelser/2024/oktober/4/04-oktober-08.32-rattfylleri-habo/
2024-10-04T10:48:49+02:00,"04 oktober 06.39, Rattfylleri, Söderhamn",Man blåste positivt efter bilfärd.,Söderhamn,/aktuellt/handelser/2024/oktober/4/04-oktober-06.39-rattfylleri-soderhamn/
2024-10-04T10:45:53+02:00,"04 oktober 02.17, Stöld/inbrott, Gävle",Inbrottsförsök i garagebyggnad.,Gävle,/aktuellt/handelser/2024/oktober/4/04-oktober-02.17-stoldinbrott-gavle/
2024-10-04T10:02:13+02:00,"04 oktober 08.26, Trafikolycka, Östersund",Tre fordon i trafikolycka på Rådhusgatan.,Östersund,/aktuellt/handelser/2024/oktober/4/04-oktober-08.26-trafikolycka-ostersund/
2024-10-04T10:33:52+02:00,"04 oktober 10.33, Trafikkontroll, Umeå",Resultat av polisens arbete i trafiken.,Umeå,/aktuellt/handelser/2024/oktober/4/04-oktober-10.33-trafikkontroll-umea/
2024-10-04T06:39:06+02:00,"04 oktober 01.55, Farligt föremål, misstänkt, Västerås",Misstänkt farligt föremål anträffat i bostadsområde.,Västerås,/aktuellt/handelser/2024/oktober/4/04-oktober-01.55-farligt-foremal-misstankt-vasteras/
2024-10-04T09:59:07+02:00,"04 oktober 07.10, Rån, Kalmar",Polis larmas till Trädgårdsgatan med anledning av ett butiksrån.,Kalmar,/aktuellt/handelser/2024/oktober/4/04-oktober-07.10-ran-kalmar/
2024-10-04T08:20:24+02:00,"04 oktober 08.10, Trafikolycka, Trelleborg","Personbil och cyklist i olycka, Trelleborg.",Trelleborg,/aktuellt/handelser/2024/oktober/4/04-oktober-08.10-trafikolycka-trelleborg/
2024-10-04T08:27:23+02:00,"04 oktober 08.22, Trafikolycka, Kalmar","Personbil i olycka, Svaneborg.",Kalmar,/aktuellt/handelser/2024/oktober/4/04-oktober-08.22-trafikolycka-kalmar/
2024-10-04T08:25:25+02:00,"04 oktober 07.59, Trafikolycka, Malmö","Personbil och person i olycka, Bunkeflostrand.",Malmö,/aktuellt/handelser/2024/oktober/4/04-oktober-07.59-trafikolycka-malmo/
2024-10-03T17:58:57+02:00,"03 oktober 17.11, Brand, Höör","Brand, äldreboende",Höör,/aktuellt/handelser/2024/oktober/3/03-oktober-17.11-brand-hoor/
2024-10-04T07:56:14+02:00,"04 oktober 07.56, Övrigt, Örebro län",I dag öppnar Bergslagens regionala medicenter 10.00.,Örebro län,/aktuellt/handelser/2024/oktober/4/04-oktober-07.56-ovrigt-orebro-lan/
2024-10-04T07:56:06+02:00,"04 oktober 07.55, Övrigt, Värmlands län",I dag öppnar Bergslagens regionala medicenter 10.00.,Värmlands län,/aktuellt/handelser/2024/oktober/4/04-oktober-07.55-ovrigt-varmlands-lan/
2024-10-04T07:55:49+02:00,"04 oktober 07.55, Övrigt, Dalarnas län",I dag öppnar Bergslagens regionala medicenter 10.00.,Dalarnas län,/aktuellt/handelser/2024/oktober/4/04-oktober-07.55-ovrigt-dalarnas-lan/
2024-10-04T07:43:35+02:00,"04 oktober 07.43, Sammanfattning natt, Örebro län",Nedan följer en sammanfattning av nattens händelser.,Örebro län,/aktuellt/handelser/2024/oktober/4/04-oktober-07.43-sammanfattning-natt-orebro-lan/
2024-10-04T07:42:27+02:00,"04 oktober 07.42, Sammanfattning natt, Dalarnas län",Nedan följer en sammanfattning av nattens händelser.,Dalarnas län,/aktuellt/handelser/2024/oktober/4/04-oktober-07.42-sammanfattning-natt-dalarnas-lan/
2024-10-04T07:41:18+02:00,"04 oktober 07.35, Sammanfattning natt, Värmlands län",Nedan följer en sammanfattning av nattens händelser.,Värmlands län,/aktuellt/handelser/2024/oktober/4/04-oktober-07.35-sammanfattning-natt-varmlands-lan/
2024-10-04T07:38:12+02:00,"04 oktober 07.38, Sammanfattning natt, Östergötlands län",Sammanfattning av nattens händelser.,Östergötlands län,/aktuellt/handelser/2024/oktober/4/04-oktober-07.38-sammanfattning-natt-ostergotlands-lan/
2024-10-04T07:38:01+02:00,"04 oktober 07.37, Sammanfattning natt, Södermanlands län",Sammanfattning av nattens händelser.,Södermanlands län,/aktuellt/handelser/2024/oktober/4/04-oktober-07.37-sammanfattning-natt-sodermanlands-lan/
2024-10-04T07:37:49+02:00,"04 oktober 07.37, Sammanfattning natt, Jönköpings län",Sammanfattning av nattens händelser.,Jönköpings län,/aktuellt/handelser/2024/oktober/4/04-oktober-07.37-sammanfattning-natt-jonkopings-lan/
2024-10-04T07:09:56+02:00,"04 oktober 06.17, Trafikolycka, Kristianstad","Två personbilar i olycka, Kristianstad.",Kristianstad,/aktuellt/handelser/2024/oktober/4/04-oktober-06.17-trafikolycka-kristianstad/
2024-10-04T07:06:46+02:00,"04 oktober 06.46, Övrigt, Malmö","Polisen beslutar om kamerabevakning med UAV, Malmö.",Malmö,/aktuellt/handelser/2024/oktober/4/04-oktober-06.46-ovrigt-malmo/
2024-10-04T07:03:41+02:00,"04 oktober 07.03, Sammanfattning natt, Västernorrlands län",Ett urval av nattens polisverksamhet i Västernorrlands län.,Västernorrlands län,/aktuellt/handelser/2024/oktober/4/04-oktober-07.03-sammanfattning-natt-vasternorrlands-lan/
2024-10-04T07:02:44+02:00,"04 oktober 06.00, Sammanfattning natt, Hallands län",Dagens presstalesperson är på plats.,Hallands län,/aktuellt/handelser/2024/oktober/4/04-oktober-06.00-sammanfattning-natt-hallands-lan/
2024-10-04T07:02:34+02:00,"04 oktober 06.00, Sammanfattning natt, Västra Götalands län",Dagens presstalesperson är på plats.,Västra Götalands län,/aktuellt/handelser/2024/oktober/4/04-oktober-06.00-sammanfattning-natt-vastra-gotalands-lan/
2024-10-04T06:53:55+02:00,"04 oktober 06.53, Sammanfattning natt, Jämtlands län",Ett urval av nattens polisverksamhet i Jämtlands län.,Jämtlands län,/aktuellt/handelser/2024/oktober/4/04-oktober-06.53-sammanfattning-natt-jamtlands-lan/
2024-10-04T06:47:36+02:00,"04 oktober 06.47, Sammanfattning natt, Västerbottens län",Ett urval av nattens polisverksamhet i Västerbottens län.,Västerbottens län,/aktuellt/handelser/2024/oktober/4/04-oktober-06.47-sammanfattning-natt-vasterbottens-lan/
2024-10-04T06:46:05+02:00,"04 oktober 02.18, Brand, Skurup","Bilbrand, Hassle Bösarp.",Skurup,/aktuellt/handelser/2024/oktober/4/04-oktober-02.18-brand-skurup/
2024-10-04T06:44:11+02:00,"04 oktober 06.43, Sammanfattning natt, Norrbottens län",Ett urval av nattens polisverksamhet i Norrbottens län.,Norrbottens län,/aktuellt/handelser/2024/oktober/4/04-oktober-06.43-sammanfattning-natt-norrbottens-lan/
2024-10-04T06:43:15+02:00,"04 oktober 01.48, Åldringsbrott, Staffanstorp","Kvinna utsatt för bedragare, Staffanstorp.",Staffanstorp,/aktuellt/handelser/2024/oktober/4/04-oktober-01.48-aldringsbrott-staffanstorp/
2024-10-04T06:31:01+02:00,"03 oktober 22.57, Brand, Malmö","Flera bilar i brand, hamnen.",Malmö,/aktuellt/handelser/2024/oktober/3/03-oktober-22.57-brand-malmo/
2024-10-04T06:27:59+02:00,"04 oktober 06.25, Misshandel, Landskrona","Man gripen, Landskrona.",Landskrona,/aktuellt/handelser/2024/oktober/4/04-oktober-06.25-misshandel-landskrona/
2024-10-04T06:23:26+02:00,"04 oktober 06.24, Misshandel, Lund","Man gripen, Lund.",Lund,/aktuellt/handelser/2024/oktober/3/04-oktober-06.24-misshandel-lund/
2024-10-04T05:38:05+02:00,"04 oktober 02.47, Explosion, Partille",Detonation vid flerfamiljshus.,Partille,/aktuellt/handelser/2024/oktober/4/04-oktober-02.47-explosion-partille/
2024-10-03T22:00:51+02:00,"03 oktober 22.00, Övrigt, Hallands län",Efter klockan 22:00 finns ingen presstalesperson i tjänst. Frågor från media besvaras av befäl på ledningscent,Hallands län,/aktuellt/handelser/2024/oktober/3/03-oktober-22.00-ovrigt-hallands-lan/
2024-10-03T22:00:44+02:00,"03 oktober 22.00, Övrigt, Västra Götalands län",Efter klockan 22:00 finns ingen presstalesperson i tjänst. Frågor från media besvaras av befäl på ledningscent,Västra Götalands län,/aktuellt/handelser/2024/oktober/3/03-oktober-22.00-ovrigt-vastra-gotalands-lan/
2024-10-03T21:45:20+02:00,"03 oktober 21.44, Övrigt, Umeå","Holmsund, polisens arbete under eftermiddag och kväll.",Umeå,/aktuellt/handelser/2024/oktober/3/03-oktober-21.44-ovrigt-umea/
2024-10-03T21:41:35+02:00,"03 oktober 20.27, Skadegörelse, Huddinge",En man kastar möbler från balkongen.,Huddinge,/aktuellt/handelser/2024/oktober/3/03-oktober-20.27-skadegorelse-huddinge/
2024-10-03T21:39:44+02:00,"03 oktober 21.33, Trafikolycka, Örebro",En singelolycka har inträffat i en rondell i Adolfsberg,Örebro,/aktuellt/handelser/2024/oktober/3/03-oktober-21.33-trafikolycka-orebro/
2024-10-03T21:39:29+02:00,"03 oktober 21.38, Trafikolycka, singel, Vaggeryd","Trafikolycka, larm om brinnande bil",Vaggeryd,/aktuellt/handelser/2024/oktober/3/03-oktober-21.38-trafikolycka-singel-vaggeryd/
2024-10-03T21:29:01+02:00,"03 oktober 18.43, Misshandel, Piteå",Man anhållen misstänkt för misshandel.,Piteå,/aktuellt/handelser/2024/oktober/3/03-oktober-18.43-misshandel-pitea/
2024-10-03T21:04:47+02:00,"03 oktober 18.04, Olaga hot, Olofström",Bilbråk,Olofström,/aktuellt/handelser/2024/oktober/3/03-oktober-18.04-olaga-hot-olofstrom/
2024-10-03T20:41:56+02:00,"03 oktober 18.49, Fylleri/LOB, Sundsvall",Omhändertagen man misstänks för narkotikabrott.,Sundsvall,/aktuellt/handelser/2024/oktober/3/03-oktober-18.49-fyllerilob-sundsvall/
2024-10-03T20:31:21+02:00,"03 oktober 18.29, Trafikolycka, personskada, Södertälje",En lastbilsförare prejar en bilförare på E4.,Södertälje,/aktuellt/handelser/2024/oktober/3/03-oktober-18.29-trafikolycka-personskada-sodertalje/
2024-10-03T20:23:51+02:00,"03 oktober 20.20, Våldtäkt, Västerbottens län",Man gripen misstänkt för våldtäkt.,Västerbottens län,/aktuellt/handelser/2024/oktober/3/03-oktober-20.20-valdtakt-vasterbottens-lan/
2024-10-03T19:43:46+02:00,"03 oktober 19.23, Trafikolycka, Örnsköldsvik","Trafikolycka på E4 Tävra, Örnsköldsvik.",Örnsköldsvik,/aktuellt/handelser/2024/oktober/3/03-oktober-19.23-trafikolycka-ornskoldsvik/
2024-10-03T19:55:53+02:00,"03 oktober 19.55, Trafikkontroll, Västernorrlands län",Resultat av polisens arbete i trafiken.,Västernorrlands län,/aktuellt/handelser/2024/oktober/3/03-oktober-19.55-trafikkontroll-vasternorrlands-lan/
2024-10-03T19:55:27+02:00,"03 oktober 18.24, Trafikolycka, personskada, Norrtälje",Båda förarna blir misstänkta för brott efter en trafikolycka i Rimbo.,Norrtälje,/aktuellt/handelser/2024/oktober/3/03-oktober-18.24-trafikolycka-personskada-norrtalje/
2024-10-03T19:26:23+02:00,"03 oktober 19.26, Trafikbrott, Umeå",Ordningsböter utfärdades för trafikbrott.,Umeå,/aktuellt/handelser/2024/oktober/3/03-oktober-19.26-trafikbrott-umea/
2024-10-03T19:20:21+02:00,"03 oktober 17.19, Stöld, Kiruna",Två minderåriga misstänks för ringa stöld.,Kiruna,/aktuellt/handelser/2024/oktober/3/03-oktober-17.19-stold-kiruna/
2024-10-03T18:09:49+02:00,"03 oktober 17.44, Trafikolycka, Göteborg",Vid Nordstaden inträffar en olycka mellan buss och fotgängare.,Göteborg,/aktuellt/handelser/2024/oktober/3/03-oktober-17.44-trafikolycka-goteborg/
2024-10-03T18:34:28+02:00,"03 oktober 16.38, Trafikbrott, Grums",En motorcyklist är misstänkt för flera brott,Grums,/aktuellt/handelser/2024/oktober/3/03-oktober-16.38-trafikbrott-grums/
2024-10-03T18:04:22+02:00,"03 oktober 17.05, Olovlig körning, Kramfors",Grov olivlig körning i Kramfors.,Kramfors,/aktuellt/handelser/2024/oktober/3/03-oktober-17.05-olovlig-korning-kramfors/
2024-10-03T17:57:13+02:00,"03 oktober 16.17, Misshandel, Göteborg",Polisen får samtal om en misshandel i samband med en parkeringsskada på Engelbrektsgatan.,Göteborg,/aktuellt/handelser/2024/oktober/3/03-oktober-16.17-misshandel-goteborg/
2024-10-03T17:40:29+02:00,"03 oktober 16.14, Brand, Tidaholm",SOS larmas om en brand i en villa norr om Tidaholm.,Tidaholm,/aktuellt/handelser/2024/oktober/3/03-oktober-16.14-brand-tidaholm/
2024-10-03T17:29:31+02:00,"03 oktober 13.20, Våld/hot mot tjänsteman, Skellefteå",Anmälan upprättas gällande försök till våld mot tjänsteman mm.,Skellefteå,/aktuellt/handelser/2024/oktober/3/03-oktober-13.20-valdhot-mot-tjansteman-skelleftea/
2024-10-03T16:46:45+02:00,"03 oktober 16.45, Trafikolycka, Värnamo","Två bilar i olycka på E4-påfart, Värnamo",Värnamo,/aktuellt/handelser/2024/oktober/3/03-oktober-16.45-trafikolycka-varnamo/
2024-10-03T16:44:51+02:00,"03 oktober 16.44, Trafikkontroll, Jämtlands län",Resultat av polisens arbete i trafiken.,Jämtlands län,/aktuellt/handelser/2024/oktober/3/03-oktober-16.44-trafikkontroll-jamtlands-lan/
2024-10-03T16:24:36+02:00,"03 oktober 16.08, Trafikolycka, Örebro",En trafikolycka har inträffat på riksväg 51 i höjd med Norra Bro,Örebro,/aktuellt/handelser/2024/oktober/3/03-oktober-16.08-trafikolycka-orebro/
2024-10-03T13:22:33+02:00,"03 oktober 13.18, Trafikolycka, Karlstad",En singelolycka har inträffat i stadsdelen Sundsta.,Karlstad,/aktuellt/handelser/2024/oktober/3/03-oktober-13.18-trafikolycka-karlstad/
2024-10-03T16:19:12+02:00,"03 oktober 12.38, Olovlig körning, Boden",Grov olovlig körning i samband med trafikkontroll.,Boden,/aktuellt/handelser/2024/oktober/3/03-oktober-12.38-olovlig-korning-boden/
2024-10-03T16:13:31+02:00,"03 oktober 16.12, Brand, Eskilstuna",Utryckning efter brandlarm i villa,Eskilstuna,/aktuellt/handelser/2024/oktober/3/03-oktober-16.12-brand-eskilstuna/
2024-10-03T16:12:37+02:00,"03 oktober 15.37, Inbrott, försök, Härjedalen",Anmälan om inbrottsförsök upprättas.,Härjedalen,/aktuellt/handelser/2024/oktober/3/03-oktober-15.37-inbrott-forsok-harjedalen/
2024-10-03T16:01:53+02:00,"03 oktober 14.32, Farligt föremål, misstänkt, Södertälje",Ett misstänkt farligt föremål i centrala Södertälje visar sig vara ofarligt.,Södertälje,/aktuellt/handelser/2024/oktober/3/03-oktober-14.32-farligt-foremal-misstankt-sodertalje/
2024-10-03T15:15:24+02:00,"03 oktober 14.15, Trafikolycka, Vilhelmina",Singelolycka mellan Dikanäs och Umnäs.,Vilhelmina,/aktuellt/handelser/2024/oktober/3/03-oktober-14.15-trafikolycka-vilhelmina/
2024-10-03T15:28:59+02:00,"03 oktober 15.13, Trafikolycka, Lund",En personbil och cyklist kolliderar på Trollebergsvägen.,Lund,/aktuellt/handelser/2024/oktober/3/03-oktober-15.13-trafikolycka-lund/
2024-10-03T15:27:06+02:00,"03 oktober 14.34, Trafikolycka, Enköping",Singelolycka på Fjärdhundragatan.,Enköping,/aktuellt/handelser/2024/oktober/3/03-oktober-14.34-trafikolycka-enkoping/
2024-10-03T13:49:25+02:00,"03 oktober 13.27, Trafikolycka, Gagnef",En person påkörd av arbetsfordon.,Gagnef,/aktuellt/handelser/2024/oktober/3/03-oktober-13.27-trafikolycka-gagnef/
2024-10-03T15:23:08+02:00,"03 oktober 15.02, Stöld, Västerås",Kvinna utsatt för grov stöld på servicehus.,Västerås,/aktuellt/handelser/2024/oktober/3/03-oktober-15.02-stold-vasteras/
2024-10-03T15:02:42+02:00,"03 oktober 13.39, Ofredande/förargelse, Uppsala",Naken man onanerade utanför ett fönster.,Uppsala,/aktuellt/handelser/2024/oktober/3/03-oktober-13.39-ofredandeforargelse-uppsala/
2024-10-03T13:51:05+02:00,"03 oktober 10.21, Trafikbrott, Härjedalen","Linsell, förare stoppad av polis",Härjedalen,/aktuellt/handelser/2024/oktober/3/03-oktober-10.21-trafikbrott-harjedalen/
2024-10-03T13:49:16+02:00,"03 oktober 08.33, Trafikolycka, Krokom","Ås, larm inkommer om att två cyklister är inblandade i olycka",Krokom,/aktuellt/handelser/2024/oktober/3/03-oktober-08.33-trafikolycka-krokom/
2024-10-03T13:28:21+02:00,"03 oktober 10.06, Arbetsplatsolycka, Östhammar",Man klämde foten under skogsmaskin.,Östhammar,/aktuellt/handelser/2024/oktober/3/03-oktober-10.06-arbetsplatsolycka-osthammar/
2024-10-03T13:21:50+02:00,"03 oktober 13.30, Trafikkontroll, Västernorrlands län","Västernorrland, ett urval av polisens arbete i trafiken",Västernorrlands län,/aktuellt/handelser/2024/oktober/3/03-oktober-13.30-trafikkontroll-vasternorrlands-lan/
2024-10-03T12:47:13+02:00,"03 oktober 12.18, Trafikolycka, Karlstad",Bilist och cyklist har kolliderat i Karlstad.,Karlstad,/aktuellt/handelser/2024/oktober/3/03-oktober-12.18-trafikolycka-karlstad/
2024-10-03T13:05:20+02:00,"03 oktober 12.55, Stöld, Falun",Polisen har genomfört en brottsplatsundersökning på en skola i Falun.,Falun,/aktuellt/handelser/2024/oktober/3/03-oktober-12.55-stold-falun/
2024-10-03T13:05:03+02:00,"03 oktober 13.00, Trafikkontroll, Västerbottens län","Skellefteå och Umeå, ett urval av polisens arbete i trafiken",Västerbottens län,/aktuellt/handelser/2024/oktober/3/03-oktober-13.00-trafikkontroll-vasterbottens-lan/
2024-10-03T12:55:28+02:00,"03 oktober 13.00, Övrigt, Hallands län",Mellan 13:00 och 15:00 har pressfunktionen möte. Vakthavande befäl kommer under denna tid besvara frågor i mån,Hallands län,/aktuellt/handelser/2024/oktober/3/03-oktober-13.00-ovrigt-hallands-lan/
2024-10-03T12:55:13+02:00,"03 oktober 13.00, Övrigt, Västra Götalands län",Mellan 13:00 och 15:00 har pressfunktionen möte. Vakthavande befäl kommer under denna tid besvara frågor i mån,Västra Götalands län,/aktuellt/handelser/2024/oktober/3/03-oktober-13.00-ovrigt-vastra-gotalands-lan/
2024-10-03T12:55:10+02:00,"03 oktober 12.47, Rattfylleri, Örebro",Missstänkt påverkad bilist stoppad i Örebro.,Örebro,/aktuellt/handelser/2024/oktober/3/03-oktober-12.47-rattfylleri-orebro/
2024-10-03T12:46:11+02:00,"03 oktober 12.30, Trafikkontroll, Norrbottens län","Norrbotten, ett urval av polisens arbete i trafiken",Norrbottens län,/aktuellt/handelser/2024/oktober/3/03-oktober-12.30-trafikkontroll-norrbottens-lan/
2024-10-03T12:11:58+02:00,"03 oktober 10.33, Rån, Ystad",Kvinna rånad på plånbok,Ystad,/aktuellt/handelser/2024/oktober/3/03-oktober-10.33-ran-ystad/
2024-10-02T09:54:47+02:00,"02 oktober 04.21, Stöld, försök, Umeå","Umeå, polis beordras till Teg med anledning av misstänkt inbrottsförsök i ett garage på Flottargatan",Umeå,/aktuellt/handelser/2024/oktober/2/02-oktober-04.21-stold-forsok-umea/
2024-10-03T11:15:23+02:00,"03 oktober 08.01, Arbetsplatsolycka, Österåker",En man omkom i en arbetsplatsolycka i Rydbo.,Österåker,/aktuellt/handelser/2024/oktober/3/03-oktober-08.01-arbetsplatsolycka-osteraker/
2024-10-03T08:18:13+02:00,"03 oktober 08.12, Trafikolycka, Ljungby",Larm om trafikolycka,Ljungby,/aktuellt/handelser/2024/oktober/3/03-oktober-08.12-trafikolycka-ljungby/
2024-10-03T09:52:47+02:00,"03 oktober 07.14, Sammanfattning natt, Jämtlands län","Jämtland, ett urval av nattens polisverksamhet",Jämtlands län,/aktuellt/handelser/2024/oktober/3/03-oktober-072.14-sammanfattning-natt-jamtlands-lan/
2024-10-03T07:57:39+02:00,"03 oktober 07.57, Sammanfattning natt, Jönköpings län",Här följer en kort sammanfattning från nattens händelser.,Jönköpings län,/aktuellt/handelser/2024/oktober/3/03-oktober-07.57-sammanfattning-natt-jonkopings-lan/
2024-10-03T08:23:51+02:00,"03 oktober 06.04, Brand, Västerås",Misstänkt anlagd brand i uthus.,Västerås,/aktuellt/handelser/2024/oktober/3/03-oktober-06.04-brand-vasteras/
2024-10-03T08:23:46+02:00,"03 oktober 01.32, Brand, Västerås",Brand på balkong.,Västerås,/aktuellt/handelser/2024/oktober/3/03-oktober-01.32-brand-vasteras/
2024-10-03T08:18:03+02:00,"03 oktober 08.10, Rattfylleri, Hallands län",Vid Valda kyrkbyväg stoppar polis en bilist för kontroll.,Hallands län,/aktuellt/handelser/2024/oktober/3/03-oktober-08.10-rattfylleri-hallands-lan/
2024-10-03T08:15:26+02:00,"03 oktober 04.04, Motorfordon, stöld, Söderhamn",Man gripen efter misstänkt inbrott.,Söderhamn,/aktuellt/handelser/2024/oktober/3/03-oktober-04.04-motorfordon-stold-soderhamn/
