Datum,Rubrik,Beskrivning,Plats,Länk
2024-09-30T20:29:35+02:00,"30 september 20.29, Trafikkontroll, Norrbottens län",Resultat av polisens arbete i trafiken.,Norrbottens län,/aktuellt/handelser/2024/september/30/30-september-20.29-trafikkontroll-norrbottens-lan/
2024-09-30T20:06:37+02:00,"30 september 20.05, Olovlig körning, Karlstad","Man anhållen, misstänkt för brukande av falsk urkund samt olovlig körning.",Karlstad,/aktuellt/handelser/2024/september/30/30-september-20.05-olovlig-korning-karlstad/
2024-09-30T19:59:04+02:00,"30 september 16.19, Inbrott, Umeå",Anmälan upprättas efter inbrott i villa.,Umeå,/aktuellt/handelser/2024/september/30/30-september-16.19-inbrott-umea/
2024-09-30T18:56:45+02:00,"30 september 18.53, Trafikolycka, Helsingborg",Personbil i singelolycka.,Helsingborg,/aktuellt/handelser/2024/september/30/30-september-18.53-trafikolycka-helsingborg/
2024-09-30T15:52:50+02:00,"30 september 15.42, Mord/dråp, försök, Lund",Skadad person utomhus.,Lund,/aktuellt/handelser/2024/september/30/30-september-15.42-morddrap-forsok-lund/
2024-09-30T19:33:44+02:00,"30 september 19.29, Rån, Linköping",Kvinna rånad i Linköping.,Linköping,/aktuellt/handelser/2024/september/30/30-september-19.29-ran-linkoping/
2024-09-30T19:22:37+02:00,"30 september 07.25, Rattfylleri, Karlskrona",Påverkad förare stoppad vid färjeterminalen i Verköhamnen.,Karlskrona,/aktuellt/handelser/2024/september/30/30-september-07.25-rattfylleri-karlskrona/
2024-09-30T17:54:35+02:00,"30 september 17.18, Trafikolycka, Sundsvall",Olycka mellan bil och elsparkcykel i Nacksta.,Sundsvall,/aktuellt/handelser/2024/september/30/30-september-17.18-trafikolycka-sundsvall/
2024-09-30T19:12:43+02:00,"30 september 10.23, Rattfylleri, Ljungby",Påverkad förare stoppad.,Ljungby,/aktuellt/handelser/2024/september/30/30-september-10.23-rattfylleri-ljungby/
2024-09-30T18:47:24+02:00,"30 september 17.32, Misshandel, grov, Göteborg",Larm kommer in från SOS om att en ung person skall ha blivit knivhuggen i benet i närheten av Guldhedsskolan.,Göteborg,/aktuellt/handelser/2024/september/30/30-september-17.32-misshandel-grov-goteborg/
2024-09-30T16:54:05+02:00,"30 september 16.47, Brand, Hallsberg",Brand på spis i samband med matlagning.,Hallsberg,/aktuellt/handelser/2024/september/30/30-september-16.47-brand-hallsberg/
2024-09-30T18:26:37+02:00,"30 september 18.25, Rattfylleri, Kumla",Misstänkt påverkad bilist stoppad i Kumla.,Kumla,/aktuellt/handelser/2024/september/30/30-september-18.25-rattfylleri-kumla/
